Target_Cell_Type,Rank,Cell_Name,VT,Delay_Raw,Power_Raw,Delay_Norm,Power_Norm,Avg_Norm_Score,,,,,,,,,,,,,,,,,,
CKINVDC,18,CKINVDCx8_ASAP7_75t_SL,SLVT,15.774,21.4532,0.2685,0.3899,0.3292,,,,,,,,,,,,,,,,,,
CKINVDC,19,CKINVDCx10_ASAP7_75t_SL,SLVT,14.37,26.9069,0.1785,0.4918,0.3351,,,,,,,,,,,,,,,,,,
CKINVDC,20,CKINVDCx11_ASAP7_75t_SL,SLVT,13.861,29.6239,0.1458,0.5425,0.3441,,,,,,,,,,,,,,,,,,
CKINVDC,21,CKINVDCx9p33_ASAP7_75t_SL,SLVT,15.264,25.1364,0.2358,0.4587,0.3473,,,,,,,,,,,,,,,,,,
CKINVDC,22,CKINVDCx12_ASAP7_75t_SL,SLVT,13.263,32.2996,0.1074,0.5925,0.3499,,,,,,,,,,,,,,,,,,
CKINVDC,23,CKINVDCx6p67_ASAP7_75t_SL,SLVT,17.846,17.9303,0.4015,0.3241,0.3628,,,,,,,,,,,,,,,,,,
CKINVDC,24,CKINVDCx5p33_ASAP7_75t_L,LVT,22.874,1.8391,0.7242,0.0236,0.3739,,,,,,,,,,,,,,,,,,
CKINVDC,25,CKINVDCx14_ASAP7_75t_SL,SLVT,12.754,37.766,0.0747,0.6946,0.3847,,,,,,,,,,,,,,,,,,
CKINVDC,26,CKINVDCx5p33_ASAP7_75t_SL,SLVT,19.955,14.3071,0.5369,0.2565,0.3967,,,,,,,,,,,,,,,,,,
CKINVDC,27,CKINVDCx6p67_ASAP7_75t_R,RVT,24.035,0.7018,0.7988,0.0024,0.4006,,,,,,,,,,,,,,,,,,
CKINVDC,28,CKINVDCx16_ASAP7_75t_SL,SLVT,11.713,43.1207,0.0079,0.7946,0.4012,,,,,,,,,,,,,,,,,,
CKINVDC,29,CKINVDCx20_ASAP7_75t_SL,SLVT,11.59,54.1205,0,1,0.5,,,,,,,,,,,,,,,,,,
CKINVDC,30,CKINVDCx5p33_ASAP7_75t_R,RVT,27.171,0.5751,1,0,0.5,,,,,,,,,,,,,,,,,,
INV,1,INVx11_ASAP7_75t_R,RVT,18.537,1.0125,0.0222,0.0276,0.0249,,,,,,,,,,,,,,,,,,
INV,2,INVx13_ASAP7_75t_R,RVT,17.449,1.1727,0.0181,0.0322,0.0252,,,,,,,,,,,,,,,,,,
INV,3,INVx8_ASAP7_75t_R,RVT,21.332,0.7515,0.0326,0.0201,0.0263,,,,,,,,,,,,,,,,,,
INV,4,INVx6_ASAP7_75t_R,RVT,24.947,0.5886,0.046,0.0154,0.0307,,,,,,,,,,,,,,,,,,
INV,5,INVx5_ASAP7_75t_R,RVT,27.816,0.498,0.0566,0.0128,0.0347,,,,,,,,,,,,,,,,,,
INV,6,INVx4_ASAP7_75t_R,RVT,32.501,0.4105,0.074,0.0103,0.0421,,,,,,,,,,,,,,,,,,
INV,7,INVx6_ASAP7_75t_L,LVT,20.794,1.9749,0.0306,0.0553,0.043,,,,,,,,,,,,,,,,,,
INV,8,INVx5_ASAP7_75t_L,LVT,23.397,1.6719,0.0402,0.0466,0.0434,,,,,,,,,,,,,,,,,,
INV,9,INVx4_ASAP7_75t_L,LVT,27.117,1.3314,0.054,0.0368,0.0454,,,,,,,,,,,,,,,,,,
INV,10,INVx8_ASAP7_75t_L,LVT,17.898,2.63,0.0198,0.0742,0.047,,,,,,,,,,,,,,,,,,
INV,11,INVx3_ASAP7_75t_L,LVT,33.335,1.0191,0.0771,0.0278,0.0525,,,,,,,,,,,,,,,,,,
INV,12,INVx3_ASAP7_75t_R,RVT,39.934,0.3149,0.1016,0.0075,0.0546,,,,,,,,,,,,,,,,,,
INV,13,INVx11_ASAP7_75t_L,LVT,15.58,3.6227,0.0112,0.1028,0.057,,,,,,,,,,,,,,,,,,
INV,14,INVx13_ASAP7_75t_L,LVT,14.601,4.2766,0.0076,0.1216,0.0646,,,,,,,,,,,,,,,,,,
INV,15,INVx2_ASAP7_75t_L,LVT,45.697,0.6579,0.123,0.0174,0.0702,,,,,,,,,,,,,,,,,,
INV,16,INVx2_ASAP7_75t_R,RVT,54.773,0.1973,0.1566,0.0041,0.0804,,,,,,,,,,,,,,,,,,
